club_id,club,#,played,w,d,l,goals,gd,pts,goals_for,goals_against,squad_players,squad_age,squad_poss,squad_mp,squad_starts,squad_min,squad_90s,squad_gls,squad_ast,squad_g+a,squad_g-pk,squad_pk,squad_pkatt,squad_crdy,squad_crdr,squad_xg,squad_npxg,squad_xag,squad_npxg+xag,squad_prgc,squad_prgp,squad_p90_gls,squad_p90_ast,squad_p90_g+a,squad_p90_g-pk,squad_p90_g+a-pk,squad_p90_xg,squad_p90_xag,squad_p90_xg+xag,squad_p90_npxg,squad_p90_npxg+xag,transfers_in_count,transfers_in_fees,transfers_out_count,transfers_out_fees,net_spend_eur
8,Leeds United,1,46,29,13,4,95:30,65,100,95.0,30.0,28,25.4,61.3,46,506,4140,46.0,91,65,156,88,3,4,70,0,89.3,86.2,67.8,153.9,967,2236,1.98,1.41,3.39,1.91,3.33,1.94,1.47,3.41,1.87,3.35,18,32420000.0,21,162900000.0,-130480000.0
3,Burnley,2,46,28,16,2,69:16,53,100,69.0,16.0,38,24.9,56.6,46,506,4140,46.0,66,45,111,62,4,4,84,3,57.8,54.6,41.3,96.0,794,1739,1.43,0.98,2.41,1.35,2.33,1.26,0.9,2.15,1.19,2.09,30,54190000.0,33,109260000.0,-55070000.0
18,Sheffield United,3,46,28,8,10,63:36,27,90,63.0,36.0,33,24.8,51.4,46,506,4140,46.0,59,38,97,56,3,5,96,2,62.6,58.7,47.0,105.7,634,1632,1.28,0.83,2.11,1.22,2.04,1.36,1.02,2.38,1.28,2.3,23,22140000.0,21,47250000.0,-25110000.0
21,Sunderland,4,46,21,13,12,58:44,14,76,58.0,44.0,30,23.5,49.2,46,506,4140,46.0,55,37,92,54,1,5,101,4,58.8,54.9,40.9,95.7,889,1837,1.2,0.8,2.0,1.17,1.98,1.28,0.89,2.17,1.19,2.08,16,11750000.0,21,18200000.0,-6450000.0
5,Coventry City,5,46,20,9,17,64:58,6,69,64.0,58.0,26,25.2,54.3,46,506,4140,46.0,63,45,108,61,2,4,75,1,68.0,64.9,49.8,114.8,779,1703,1.37,0.98,2.35,1.33,2.3,1.48,1.08,2.56,1.41,2.5,10,21250000.0,9,0.0,21250000.0
2,Bristol City,6,46,17,17,12,59:55,4,68,59.0,55.0,24,25.6,51.0,46,506,4140,46.0,59,39,98,56,3,3,77,3,59.4,57.0,43.0,100.0,728,1776,1.28,0.85,2.13,1.22,2.07,1.29,0.93,2.23,1.24,2.17,10,11950000.0,15,5300000.0,6650000.0
1,Blackburn Rovers,7,46,19,9,18,53:48,5,66,53.0,48.0,33,27.1,49.1,46,506,4140,46.0,52,43,95,49,3,3,101,4,51.6,49.3,38.1,87.4,613,1396,1.13,0.93,2.07,1.07,2.0,1.12,0.83,1.95,1.07,1.9,19,4790000.0,18,13400000.0,-8610000.0
11,Millwall,8,46,18,12,16,47:49,-2,66,47.0,49.0,34,26.7,43.0,46,506,4140,46.0,47,31,78,45,2,4,75,1,53.5,50.6,37.3,87.9,469,1327,1.02,0.67,1.7,0.98,1.65,1.16,0.81,1.97,1.1,1.91,22,10150000.0,11,14200000.0,-4050000.0
24,West Bromwich Albion,9,46,15,19,12,57:47,10,64,57.0,47.0,30,26.7,54.1,46,506,4140,46.0,56,43,99,55,1,1,79,4,58.7,57.9,46.4,104.3,859,1655,1.22,0.93,2.15,1.2,2.13,1.28,1.01,2.28,1.26,2.27,18,11700000.0,22,7590000.0,4110000.0
10,Middlesbrough,10,46,18,10,18,64:56,8,64,64.0,56.0,33,25.3,55.4,46,506,4140,46.0,62,46,108,57,5,7,69,2,67.3,61.8,49.0,110.7,931,2110,1.35,1.0,2.35,1.24,2.24,1.46,1.06,2.53,1.34,2.41,14,25190000.0,16,27150000.0,-1960000.0
22,Swansea City,11,46,17,10,19,51:56,-5,61,51.0,56.0,26,25.5,57.6,46,506,4140,46.0,48,35,83,46,2,3,71,1,56.4,54.1,43.2,97.4,801,1697,1.04,0.76,1.8,1.0,1.76,1.23,0.94,2.17,1.18,2.12,17,8930000.0,17,7500000.0,1430000.0
