club_id,club,player_name,nationality,position,age,born,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,p90_gls,p90_ast,p90_g+a,p90_g-pk,p90_g+a-pk,p90_xg,p90_xag,p90_xg+xag,p90_npxg,p90_npxg+xag,matches,misplaced_passes,shots,sca,sca90,gca,gca90,touches,miscontrols,dispossessed,failed_take_ons
8,Leeds United,Brenden Aaronson,United States,MF,23.0,2000.0,46,43,3551,39.5,9,2,11,9,0,0,1,0,11.3,11.3,5.7,17.1,84,160,243,0.23,0.05,0.28,0.23,0.28,0.29,0.14,0.43,0.29,0.43,https://fbref.com/en/players/5bc43860/matchlogs/2024-2025/summary/Brenden-Aaronson-Match-Logs,265,86,145,3.67,13,0.33,1777,103,112,59
9,Luton Town,Thelo Aasgaard,Norway,"MF,FW",22.0,2002.0,17,17,1513,16.8,2,1,3,2,0,0,1,0,3.2,3.2,1.1,4.3,27,46,71,0.12,0.06,0.18,0.12,0.18,0.19,0.07,0.25,0.19,0.25,https://fbref.com/en/players/c88a28b9/matchlogs/2024-2025/summary/Thelo-Aasgaard-Match-Logs,127,38,39,2.32,1,0.06,692,43,30,24
23,Watford,James Abankwah,Republic of Ireland,DF,20.0,2004.0,19,17,1384,15.4,0,0,0,0,0,0,4,1,0.1,0.1,0.3,0.3,21,55,9,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,https://fbref.com/en/players/4b7a9fcc/matchlogs/2024-2025/summary/James-Abankwah-Match-Logs,145,4,16,1.04,1,0.07,1123,11,9,12
21,Sunderland,Salis Abdul Samed,Ghana,MF,24.0,2000.0,10,3,283,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,15,10,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,https://fbref.com/en/players/82464ce3/matchlogs/2024-2025/summary/Salis-Abdul-Samed-Match-Logs,17,0,5,1.59,0,0.0,183,2,0,4
22,Swansea City,Azeem Abdulai,Scotland,"FW,MF",21.0,2002.0,17,2,348,3.9,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,8,10,53,0.26,0.0,0.26,0.26,0.26,0.11,0.05,0.16,0.11,0.16,https://fbref.com/en/players/a0893a41/matchlogs/2024-2025/summary/Azeem-Abdulai-Match-Logs,41,2,4,1.03,0,0.0,196,17,4,3
6,Derby County,Ebou Adams,The Gambia,MF,28.0,1996.0,44,42,3789,42.1,6,1,7,6,0,0,12,0,5.2,5.2,1.9,7.1,27,131,77,0.14,0.02,0.17,0.14,0.17,0.12,0.05,0.17,0.12,0.17,https://fbref.com/en/players/84d7ae33/matchlogs/2024-2025/summary/Ebou-Adams-Match-Logs,382,52,58,1.38,4,0.1,1855,71,41,23
9,Luton Town,Elijah Adebayo,England,FW,26.0,1998.0,39,31,2425,26.9,5,0,5,5,0,0,1,0,12.8,12.8,1.1,13.9,31,20,144,0.19,0.0,0.19,0.19,0.19,0.48,0.04,0.52,0.48,0.52,https://fbref.com/en/players/0480ebc7/matchlogs/2024-2025/summary/Elijah-Adebayo-Match-Logs,94,69,53,1.97,5,0.19,715,88,49,59
23,Watford,Michael Adu-Poku,England,FW,18.0,2005.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/e47141d7/matchlogs/2024-2025/summary/Michael-Adu-Poku-Match-Logs,1,0,0,0.0,0,0.0,1,0,0,0
3,Burnley,Enock Agyei,Belgium,"FW,MF",19.0,2005.0,3,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,8,5,12,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.16,0.08,0.16,https://fbref.com/en/players/a1dd3b81/matchlogs/2024-2025/summary/Enock-Agyei-Match-Logs,7,2,1,1.55,0,0.0,44,2,1,3
18,Sheffield United,Anel Ahmedhodžić,Bosnia and Herzegovina,DF,25.0,1999.0,38,35,3136,34.8,3,1,4,3,0,0,11,1,2.3,2.3,1.2,3.6,39,88,8,0.09,0.03,0.11,0.09,0.11,0.07,0.04,0.1,0.07,0.1,https://fbref.com/en/players/eab957a3/matchlogs/2024-2025/summary/Anel-Ahmedhodzic-Match-Logs,184,12,23,0.66,0,0.0,2162,22,12,7
24,West Bromwich Albion,Semi Ajayi,Nigeria,DF,30.0,1993.0,15,14,1228,13.6,0,0,0,0,0,0,4,0,0.4,0.4,0.0,0.5,9,51,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,https://fbref.com/en/players/d6192210/matchlogs/2024-2025/summary/Semi-Ajayi-Match-Logs,115,5,11,0.81,0,0.0,925,5,4,1
21,Sunderland,Milan Aleksić,Serbia,"MF,FW",18.0,2005.0,8,3,290,3.2,0,0,0,0,0,0,1,0,0.8,0.8,0.3,1.1,11,7,29,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.34,0.25,0.34,https://fbref.com/en/players/c79f7793/matchlogs/2024-2025/summary/Milan-Aleksic-Match-Logs,37,6,7,2.18,0,0.0,158,12,2,12
21,Sunderland,Ajibola Alese,England,DF,23.0,2001.0,12,8,703,7.8,0,0,0,0,0,0,2,0,0.5,0.5,0.5,1.0,3,29,19,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.06,0.12,https://fbref.com/en/players/182a8b9d/matchlogs/2024-2025/summary/Ajibola-Alese-Match-Logs,71,3,7,0.9,0,0.0,432,5,4,2
5,Coventry City,Jamie Allen,England,MF,29.0,1995.0,21,12,1004,11.2,0,0,0,0,0,0,1,0,0.5,0.5,0.1,0.6,2,37,6,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,https://fbref.com/en/players/2c183a79/matchlogs/2024-2025/summary/Jamie-Allen-Match-Logs,55,10,14,1.25,2,0.18,527,16,10,2
22,Swansea City,Joe Allen,Wales,MF,34.0,1990.0,25,8,709,7.9,1,1,2,1,0,0,2,0,0.9,0.9,0.4,1.3,7,40,19,0.13,0.13,0.25,0.13,0.25,0.12,0.05,0.16,0.12,0.16,https://fbref.com/en/players/9feb8f24/matchlogs/2024-2025/summary/Joe-Allen-Match-Logs,57,6,26,3.28,5,0.63,454,5,11,4
9,Luton Town,Millenic Alli,Republic of Ireland,"FW,DF",24.0,2000.0,16,6,766,8.5,4,0,4,4,0,0,1,0,1.3,1.3,0.3,1.7,41,14,53,0.47,0.0,0.47,0.47,0.47,0.16,0.04,0.2,0.16,0.2,https://fbref.com/en/players/b639311c/matchlogs/2024-2025/summary/Millenic-Alli-Match-Logs,87,22,22,2.59,3,0.35,353,27,28,15
4,Cardiff City,Jak Alnwick,England,GK,31.0,1993.0,29,29,2610,29.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/b0835fc0/matchlogs/2024-2025/summary/Jak-Alnwick-Match-Logs,337,0,5,0.17,0,0.0,989,0,0,0
4,Cardiff City,Will Alves,England,"FW,MF",19.0,2005.0,14,8,667,7.4,1,3,4,1,0,0,0,0,0.8,0.8,0.9,1.7,29,14,54,0.13,0.4,0.54,0.13,0.54,0.1,0.12,0.23,0.1,0.23,https://fbref.com/en/players/39ef5a7b/matchlogs/2024-2025/summary/Will-Alves-Match-Logs,38,13,28,3.77,4,0.54,240,18,13,11
7,Hull City,Steven Alzate,Colombia,MF,25.0,1998.0,28,21,1941,21.6,0,1,1,0,0,0,2,0,0.5,0.5,0.7,1.2,18,77,14,0.0,0.05,0.05,0.0,0.05,0.02,0.03,0.06,0.02,0.06,https://fbref.com/en/players/ad1f61f3/matchlogs/2024-2025/summary/Steven-Alzate-Match-Logs,178,15,42,1.95,4,0.19,1364,27,17,9
