player,squad,misplaced_passes,shots,sca,sca90,gca,gca90,touches,miscontrols,dispossessed,failed_take_ons
Aaron Connolly,Millwall,44,13,11,1.5,0,0.0,240,18,24,21
Aaron Connolly,Sunderland,8,3,1,0.37,1,0.37,41,4,6,2
Aaron Ramsey,Burnley,3,0,0,0.0,0,0.0,7,0,0,0
Aaron Ramsey,Cardiff City,81,10,15,2.42,1,0.16,429,9,10,4
Abdoulaye Kamara,Portsmouth,6,0,4,2.93,0,0.0,102,5,1,1
Abdülkadir Ömür,Hull City,100,8,31,2.62,2,0.17,527,18,14,18
Abu Kamara,Hull City,202,36,73,2.91,5,0.2,962,51,25,31
Abu Kamara,Norwich City,1,0,1,5.29,0,0.0,12,0,1,0
Adam Armstrong,West Brom,43,24,17,1.52,1,0.09,278,16,12,9
Adam Davies,Sheffield Utd,24,0,0,0.0,0,0.0,100,0,0,0
Adam Forshaw,Blackburn,52,6,7,1.12,0,0.0,370,7,1,2
Adam Forshaw,Plymouth Argyle,56,7,9,1.19,0,0.0,400,7,8,2
Adam Idah,Norwich City,3,0,1,3.0,0,0.0,11,1,0,0
Adam Randell,Plymouth Argyle,443,30,84,2.24,6,0.16,2114,37,27,20
Adil Aouchiche,Portsmouth,78,14,22,2.9,2,0.26,341,28,11,6
Adil Aouchiche,Sunderland,52,14,13,3.94,1,0.3,192,13,4,4
Aidan Morris,Middlesbrough,191,30,80,2.47,5,0.15,2618,40,35,20
Aidomo Emakhu,Millwall,58,16,27,3.49,3,0.39,303,31,10,21
Ajibola Alese,Sunderland,71,3,7,0.9,0,0.0,432,5,4,2
Akin Famewo,Sheffield Weds,96,4,7,0.67,1,0.1,590,4,2,1
Alan Browne,Sunderland,112,10,26,1.93,2,0.15,648,24,16,16
Alex Matos,Oxford United,54,2,12,1.16,0,0.0,390,23,18,8
Alex Mowatt,West Brom,348,29,114,3.06,6,0.16,2957,25,13,15
Alex Palmer,West Brom,355,0,2,0.07,0,0.0,1292,0,0,0
Alexander Gilbert,Middlesbrough,17,1,4,4.68,0,0.0,79,4,0,1
Alexander Robertson,Cardiff City,303,18,88,3.29,3,0.11,1625,46,15,22
Alfie Doughty,Luton Town,432,16,111,4.9,7,0.31,1463,38,21,24
Alfie Gilchrist,Sheffield Utd,225,9,43,1.84,2,0.09,1441,22,16,22
Alfie Jones,Hull City,360,8,30,0.8,1,0.03,2777,19,7,7
Alfie Lloyd,QPR,50,18,17,2.05,0,0.0,340,58,25,34
Ali Al Hamadi,Stoke City,52,19,17,1.85,1,0.11,274,30,10,17
Alistair McCann,Preston,200,17,39,1.45,2,0.07,1309,24,16,13
Amankwah Forson,Norwich City,58,16,18,2.23,3,0.37,347,17,21,11
Amari'i Bell,Luton Town,310,4,39,1.3,2,0.07,1516,27,13,12
Amario Cozier-Duberry,Blackburn,50,16,22,2.75,0,0.0,355,21,26,14
Amin Nabizada,Watford,1,0,0,0.0,0,0.0,11,0,0,0
Anass Zaroury,Burnley,5,0,0,0.0,0,0.0,11,0,0,0
Andre Brooks,Sheffield Utd,58,21,30,2.84,2,0.19,483,31,14,31
Andre Dozzell,Portsmouth,235,16,41,1.31,6,0.19,1223,18,12,5
Andre Gray,Plymouth Argyle,41,7,10,1.63,1,0.16,131,10,2,4
Andreas Hountondji,Burnley,6,8,2,0.86,0,0.0,65,9,5,3
Andreas Weimann,Blackburn,85,33,29,1.85,3,0.19,484,16,8,3
Andrew Hughes,Preston,493,9,43,1.2,5,0.14,2479,40,15,10
Andrew Moran,Stoke City,213,28,76,2.9,4,0.15,1181,42,37,36
Andros Townsend,Luton Town,4,0,1,8.18,0,0.0,11,0,1,1
André Vidigal,Stoke City,16,7,2,1.73,0,0.0,70,5,0,7
Andy Rinomhota,Cardiff City,247,6,32,1.37,3,0.13,1181,32,13,16
Anel Ahmedhodžić,Sheffield Utd,184,12,23,0.66,0,0.0,2162,22,12,7
Anfernee Dijksteel,Middlesbrough,267,3,45,1.6,3,0.11,2174,44,28,33
Angelo Ogbonna,Watford,25,0,0,0.0,0,0.0,271,2,0,0
Angus Gunn,Norwich City,264,0,3,0.09,1,0.03,1440,0,0,0
Anis Ben Slimane,Norwich City,184,19,52,2.24,7,0.3,1432,43,27,18
Anis Ben Slimane,Sheffield Utd,5,0,2,4.0,0,0.0,33,0,0,2
Anis Mehmeti,Bristol City,209,82,84,2.95,3,0.11,1074,52,47,72
Ante Crnac,Norwich City,136,33,58,2.09,8,0.29,812,61,35,36
Anthony Musaba,Sheffield Weds,108,32,40,2.71,7,0.47,518,33,29,49
Anthony Patterson,Sunderland,416,1,9,0.21,1,0.02,1575,0,0,0
Anwar El Ghazi,Cardiff City,114,37,35,2.68,2,0.15,507,40,12,26
Ao Tanaka,Leeds United,288,43,96,2.61,10,0.27,3028,34,26,17
Arnór Sigurðsson,Blackburn,3,2,4,5.81,1,1.45,31,0,2,0
Ashley Barnes,Burnley,15,3,0,0.0,0,0.0,54,7,1,2
Ashley Barnes,Norwich City,10,4,5,2.6,1,0.52,52,5,8,0
Ashley Phillips,Stoke City,240,12,8,0.23,1,0.03,1884,8,5,2
Augustus Kargbo,Blackburn,12,4,8,3.87,1,0.48,79,13,3,10
Auston Trusty,Sheffield Utd,1,0,0,0.0,0,0.0,52,0,0,0
Aynsley Pears,Blackburn,467,0,2,0.05,1,0.02,1357,0,0,0
Azeem Abdulai,Swansea City,41,2,4,1.03,0,0.0,196,17,4,3
Bachir Belloumi,Hull City,126,25,39,4.31,5,0.55,457,18,9,16
Bae Junho,Stoke City,272,40,108,2.98,10,0.28,1584,89,60,59
Bali Mumba,Plymouth Argyle,308,22,58,1.54,6,0.16,1856,67,36,39
Balázs Tóth,Blackburn,95,0,0,0.0,0,0.0,204,0,0,0
