club_id,canonical_club_name,aliases,club_key
1,Blackburn Rovers,"Blackburn, Blackburn Rovers, Blackburn Rovers FC",blackburn-rovers
2,Bristol City,Bristol City,bristol-city
3,Burnley,"Burnley, Burnley FC",burnley
4,Cardiff City,"Cardiff City, Cardiff",cardiff-city
5,Coventry City,"Coventry City, Coventry",coventry-city
6,Derby County,"Derby County, Derby",derby-county
7,Hull City,"Hull City, Hull",hull-city
8,Leeds United,"Leeds United, Leeds, Leeds Utd",leeds-united
9,Luton Town,"Luton Town, Luton",luton-town
10,Middlesbrough,"Middlesbrough, Middlesbrough FC, Boro",middlesbrough
11,Millwall,"Millwall, Millwall FC",millwall
12,Norwich City,"Norwich City, Norwich",norwich-city
13,Oxford United,Oxford United,oxford-united
14,Plymouth Argyle,"Plymouth Argyle, Plymouth",plymouth-argyle
15,Portsmouth,"Portsmouth, Portsmouth FC, Pompey",portsmouth
16,Preston North End,"Preston North End, Preston",preston-north-end
17,Queens Park Rangers,"Queens Park Rangers, QPR",queens-park-rangers
18,Sheffield United,"Sheffield United, Sheff Utd, Sheffield Utd",sheffield-united
19,Sheffield Wednesday,"Sheffield Wednesday, Sheff Wed, Sheffield Weds",sheffield-wednesday
20,Stoke City,"Stoke City, Stoke",stoke-city
21,Sunderland,"Sunderland, Sunderland AFC",sunderland
22,Swansea City,"Swansea City, Swansea",swansea-city
23,Watford,"Watford, Watford FC",watford
24,West Bromwich Albion,"West Bromwich Albion, West Brom, WBA",west-bromwich-albion
